name,price,engineSize,year,mileage,fuelType,priceToEngineSizeRatio,link
Audi A6 C8,256500,1968,2018,5,Diesel,130335,otomoto.pl/oferta/audi-a6-avant-sport-40-tdi-204-km-stronic-matrix-led-pakiet-serwisowy-gratis-ID6Bk3jd.html
Land Rover Range Rover IV,569000,4367,2018,26000,Diesel,130295,otomoto.pl/oferta/land-rover-range-rover-4-4-sdv8-339-km-autobiography-my18-mozliwosc-przejecia-leasingu-ID6BPbEt.html
BMW Seria 7 G11/12,389440,2993,2018,1,Diesel,130117,otomoto.pl/oferta/bmw-seria-7-bmw-730d-xdrive-wyprzedaz-rocznika-w-aso-ID6Btnzu.html
BMW Seria 5 G30,259900,2000,2018,9960,Hybryda,129950,otomoto.pl/oferta/bmw-seria-5-bmw-530e-iperformance-parking-assistant-salon-bmw-inchcape-poznan-ID6BOFnX.html
BMW X5 F15,259900,2000,2018,7600,Diesel,129950,otomoto.pl/oferta/bmw-x5-bmw-x5-xdrive25d-m-pakiet-salon-bmw-inchcape-poznan-ID6BMBjP.html
Audi Q3,194502,1498,2018,5,Benzyna,129841,otomoto.pl/oferta/audi-q3-advanced-35-tfsi-150-km-s-tronic-4-kola-zimowe-gratis-ID6BE4Qh.html
Audi A7 C8,382900,2967,2018,5,Diesel,129053,otomoto.pl/oferta/audi-a7-sportback-50-tdi-286-km-quattro-tiptronic-kola-zimowe-gratis-ID6BvdCx.html
Audi Q7 II,382900,2967,2018,5,Diesel,129053,otomoto.pl/oferta/audi-q7-50-tdi-quattro-tiptronic-matrix-led-7-os-pakiet-serwisowy-gratis-ID6BcrTe.html
Volkswagen Touareg III,386900,3000,2019,1,Diesel,128967,otomoto.pl/oferta/volkswagen-touareg-3-0-v6-tdi-286-km-r-line-black-style-plichta-gdansk-ID6BPiTX.html
Audi A7 C8,381900,2967,2018,5000,Diesel,128716,otomoto.pl/oferta/audi-a7-sportback-50-tdi-286km-quattro-tiptronic-demo-wyprzedaz-rocznika-w-aso-ID6BI8CP.html
Audi Q7 II,385000,3000,2018,1,Diesel,128333,otomoto.pl/oferta/audi-q7-50-tdi-quattro-286-km-tiptronic-wyprzedaz-rocznika-w-aso-ID6BGVon.html
BMW Seria 5 G30,255850,1998,2018,1000,Hybryda,128053,otomoto.pl/oferta/bmw-seria-5-bmw-530e-iperformance-oferta-cenowa-do-konca-marca-ID6BHJcI.html
